Sample,Timepoint,Site,HV
MET0347,T3,Ic,HV01
MET0344,T3,Ra,HV01
MET0348,T3,Ac,HV01
MET0014,T1,Ra,HV01
MET0013,T1,Ea,HV01
Met3106,T1,N,HV01
MET0015,T1,Mb,HV01
MET0346,T3,Pc,HV01
MET0345,T3,Gb,HV01
MET0357,T3,Tn,HV01
MET0016,T1,Ph,HV01
MET0343,T3,Ch,HV01
MET0017,T1,Tn,HV01
MET0020,T1,Vf,HV01
Met3118,T2,N,HV01
MET0351,T3,Al,HV01
MET0022,T1,Hp,HV01
MET0353,T3,Id,HV01
MET0358,T3,Ph,HV01
MET0025,T1,Tw,HV01
MET0011,T1,Ch,HV01
MET0012,T1,Al,HV01
MET0336,T2,Tn,HV01
MET0337,T2,Ph,HV01
MET0342,T3,Ba,HV01
MET0330,T2,Al,HV01
MET0023,T1,Id,HV01
MET0328,T2,Vf,HV01
MET0021,T1,Ac,HV01
MET0026,T1,Oc,HV01
MET0335,T2,Tw,HV01
MET0024,T1,Ic,HV01
MET0009,T1,Gb,HV01
MET0028,T1,Pc,HV01
MET0349,T3,Vf,HV01
MET0355,T3,Oc,HV01
MET0356,T3,Tw,HV01
MET0327,T2,Ac,HV01
MET0010,T1,N,HV01
MET0350,T3,Ea,HV01
MET0326,T2,Ic,HV01
MET0352,T3,Mb,HV01
MET0325,T2,Pc,HV01
MET0354,T3,Hp,HV01
MET0331,T2,Mb,HV01
MET0324,T2,Gb,HV01
MET0321,T2,Ba,HV01
MET0329,T2,Ea,HV01
MET0323,T2,Ra,HV01
MET0334,T2,Oc,HV01
MET0322,T2,Ch,HV01
MET0332,T2,Id,HV01
MET0333,T2,Hp,HV01
Met3131,T3,N,HV01
MET0027,T1,Ba,HV01
Met3506,T4,Ac,HV02
Met3507,T4,Ra,HV02
Met3508,T4,Vf,HV02
MET0672,T2,Vf,HV02
MET0673,T2,Ea,HV02
MET0674,T2,Al,HV02
MET0675,T2,Mb,HV02
MET0676,T2,Id,HV02
MET0677,T2,Hp,HV02
MET0678,T2,Oc,HV02
MET0679,T2,Tw,HV02
MET0680,T2,Tn,HV02
MET0681,T2,Ph,HV02
MET0684,T3,Ba,HV02
MET0685,T3,Ch,HV02
MET0686,T3,Ra,HV02
Met3107,T1,N,HV02
MET0688,T3,Pc,HV02
MET0689,T3,Ic,HV02
MET0690,T3,Ac,HV02
MET0691,T3,Vf,HV02
MET0692,T3,Ea,HV02
MET0693,T3,Al,HV02
MET0694,T3,Mb,HV02
MET0695,T3,Id,HV02
MET0696,T3,Hp,HV02
MET0697,T3,Oc,HV02
MET0698,T3,Tw,HV02
Met3119,T2,N,HV02
MET0700,T3,Ph,HV02
MET0049,T1,N,HV02
MET0050,T1,Al,HV02
MET0051,T1,Ra,HV02
MET0052,T1,Mb,HV02
MET0053,T1,Ic,HV02
MET0054,T1,Ph,HV02
MET0665,T2,Ba,HV02
MET0666,T2,Ch,HV02
MET0667,T2,Ra,HV02
Met3132,T3,N,HV02
MET0669,T2,Pc,HV02
MET0670,T2,Ic,HV02
MET0671,T2,Ac,HV02
MET0065,T1,Hp,HV02
MET0066,T1,Id,HV02
MET0067,T1,Oc,HV02
MET0068,T1,Pc,HV02
MET0056,T1,Tn,HV02
MET0057,T1,Ba,HV02
MET0060,T1,Gb,HV02
MET0055,T1,Tw,HV02
MET0699,T3,Tn,HV02
MET0687,T3,Gb,HV02
MET0064,T1,Ac,HV02
MET0061,T1,Ch,HV02
MET0062,T1,Ea,HV02
MET0668,T2,Gb,HV02
MET0133,T1,Vf,HV02
MET0391,T3,Id,HV03
Met3108,T1,N,HV03
MET0390,T3,Mb,HV03
MET0086,T1,Oc,HV03
MET0362,T2,Ch,HV03
MET0073,T1,Ch,HV03
MET0392,T3,Hp,HV03
MET0088,T1,Pc,HV03
MET0361,T2,Ba,HV03
MET0085,T1,Tn,HV03
MET0002,T1,Ph,HV03
MET0075,T1,Ea,HV03
MET0069,T1,Gb,HV03
MET0363,T2,Ra,HV03
MET0373,T2,Hp,HV03
MET0087,T1,Ba,HV03
MET0366,T2,Ic,HV03
MET0396,T3,Ph,HV03
MET0393,T3,Oc,HV03
MET0395,T3,Tn,HV03
MET0083,T1,Ph,HV03
MET0084,T1,Tw,HV03
Met3120,T2,N,HV03
MET0388,T3,Ea,HV03
MET0389,T3,Al,HV03
MET0074,T1,Al,HV03
MET0376,T2,Tn,HV03
MET0364,T2,Gb,HV03
MET0394,T3,Tw,HV03
Met3133,T3,N,HV03
MET0001,T1,Ac,HV03
MET0076,T1,Ra,HV03
MET0081,T1,Mb,HV03
MET0380,T3,Ba,HV03
MET0371,T2,Mb,HV03
MET0372,T2,Id,HV03
MET0070,T1,N,HV03
MET0367,T2,Ac,HV03
MET0377,T2,Ph,HV03
MET0374,T2,Oc,HV03
MET0381,T3,Ch,HV03
MET0375,T2,Tw,HV03
MET0082,T1,Ic,HV03
MET0365,T2,Pc,HV03
MET0387,T3,Vf,HV03
MET0370,T2,Al,HV03
MET0383,T3,Gb,HV03
MET0386,T3,Ac,HV03
MET0369,T2,Ea,HV03
MET0385,T3,Ic,HV03
MET0368,T2,Vf,HV03
MET0384,T3,Pc,HV03
MET0382,T3,Ra,HV03
MET0484,T2,Al,HV04
MET0505,T3,Id,HV04
MET0481,T2,Ac,HV04
Met3109,T1,N,HV04
MET0482,T2,Vf,HV04
MET0503,T3,Al,HV04
MET0489,T2,Tw,HV04
MET0485,T2,Mb,HV04
Met3121,T2,N,HV04
MET0783,T3,Ic,HV04
MET0501,T3,Vf,HV04
MET0494,T3,Ba,HV04
MET0490,T2,Tn,HV04
MET0500,T3,Ac,HV04
MET0506,T3,Hp,HV04
MET0502,T3,Ea,HV04
MET0483,T2,Ea,HV04
MET0782,T3,Pc,HV04
MET0093,T1,Ra,HV04
MET0487,T2,Hp,HV04
MET0488,T2,Oc,HV04
